Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-07-31,1630.09,1630.09,1630.09,1630.09
2018-08-01,1627.91,1627.91,1627.91,1627.91
2018-08-02,1644.36,1644.36,1644.36,1644.36
2018-08-03,1645.35,1645.35,1645.35,1645.35
2018-08-06,1645.25,1645.25,1645.25,1645.25
2018-08-07,1651.89,1651.89,1651.89,1651.89
2018-08-08,1635.33,1635.33,1635.33,1635.33
2018-08-09,1630.38,1630.38,1630.38,1630.38
2018-08-10,1626.35,1626.35,1626.35,1626.35
2018-08-13,1626.97,1626.97,1626.97,1626.97
2018-08-14,1625.86,1625.86,1625.86,1625.86
2018-08-15,1627.89,1627.89,1627.89,1627.89
2018-08-16,1623.4,1623.4,1623.4,1623.4
2018-08-17,1633.93,1633.93,1633.93,1633.93
2018-08-20,1621.08,1621.08,1621.08,1621.08
2018-08-21,1623.57,1623.57,1623.57,1623.57
2018-08-22,1628.61,1628.61,1628.61,1628.61
2018-08-23,1632.18,1632.18,1632.18,1632.18
2018-08-27,1629.15,1629.15,1629.15,1629.15
2018-08-28,1632.77,1632.77,1632.77,1632.77
2018-08-29,1634.29,1634.29,1634.29,1634.29
2018-08-30,1633.25,1633.25,1633.25,1633.25
2018-08-31,1629.67,1629.67,1629.67,1629.67
2018-09-03,1631.36,1631.36,1631.36,1631.36
2018-09-04,1630.88,1630.88,1630.88,1630.88
2018-09-05,1631.46,1631.46,1631.46,1631.46
2018-09-06,1630.68,1630.68,1630.68,1630.68
2018-09-07,1625.44,1625.44,1625.44,1625.44
2018-09-10,1627.69,1627.69,1627.69,1627.69
2018-09-11,1627.65,1627.65,1627.65,1627.65
2018-09-12,1632.63,1632.63,1632.63,1632.63
2018-09-13,1643.39,1643.39,1643.39,1643.39
2018-09-14,1643.47,1643.47,1643.47,1643.47
2018-09-17,1643.47,1643.47,1643.47,1643.47
2018-09-18,1637.3,1637.3,1637.3,1637.3
2018-09-19,1641.83,1641.83,1641.83,1641.83
2018-09-20,1635.36,1635.36,1635.36,1635.36
2018-09-21,1637.76,1637.76,1637.76,1637.76
2018-09-24,1626.51,1626.51,1626.51,1626.51
2018-09-25,1634.21,1634.21,1634.21,1634.21
2018-09-26,1638.46,1638.46,1638.46,1638.46
2018-09-27,1655.94,1655.94,1655.94,1655.94
2018-09-28,1657.65,1657.65,1657.65,1657.65
2018-10-01,1657.95,1657.95,1657.95,1657.95
2018-10-02,1647.02,1647.02,1647.02,1647.02
2018-10-03,1652.11,1652.11,1652.11,1652.11
2018-10-04,1669.75,1669.75,1669.75,1669.75
2018-10-05,1669.75,1669.75,1669.75,1669.75
2018-10-08,1678.08,1678.08,1678.08,1678.08
2018-10-09,1678.08,1678.08,1678.08,1678.08
2018-10-10,1678.08,1678.08,1678.08,1678.08
2018-10-11,1710,1710,1710,1710
2018-10-12,1690.55,1690.55,1690.55,1690.55
2018-10-16,1698.18,1698.18,1698.18,1698.18
2018-10-17,1738.23,1738.23,1738.23,1738.23
2018-10-18,1721.56,1721.56,1721.56,1721.56
2018-10-19,1731.22,1731.22,1731.22,1731.22
2018-10-22,1719.67,1719.67,1719.67,1719.67
2018-10-23,1723.98,1723.98,1723.98,1723.98
2018-10-24,1724.62,1724.62,1724.62,1724.62
2018-10-25,1724.62,1724.62,1724.62,1724.62
2018-10-26,1727.43,1727.43,1727.43,1727.43
2018-10-29,1732.48,1732.48,1732.48,1732.48
2018-10-30,1738.04,1738.04,1738.04,1738.04
2018-10-31,1740.81,1740.81,1740.81,1740.81
2018-11-01,1743.54,1743.54,1743.54,1743.54
2018-11-02,1743.54,1743.54,1743.54,1743.54
2018-11-05,1753.17,1753.17,1753.17,1753.17
2018-11-06,1779.31,1779.31,1779.31,1779.31
2018-11-07,1786.65,1786.65,1786.65,1786.65
2018-11-08,1786.65,1786.65,1786.65,1786.65
2018-11-09,1791.23,1791.23,1791.23,1791.23
2018-11-12,1790.91,1790.91,1790.91,1790.91
2018-11-13,1796.53,1796.53,1796.53,1796.53
2018-11-14,1796.53,1796.53,1796.53,1796.53
2018-11-15,1796.53,1796.53,1796.53,1796.53
2018-11-16,1797.89,1797.89,1797.89,1797.89
2018-11-19,1785.81,1785.81,1785.81,1785.81
2018-11-20,1785.81,1785.81,1785.81,1785.81
2018-11-21,1765.24,1765.24,1765.24,1765.24
2018-11-22,1765.24,1765.24,1765.24,1765.24
2018-11-23,1765.24,1765.24,1765.24,1765.24
2018-11-26,1773.14,1773.14,1773.14,1773.14
2018-11-27,1738.25,1738.25,1738.25,1738.25
2018-11-28,1738.25,1738.25,1738.25,1738.25
2018-11-29,1738.25,1738.25,1738.25,1738.25
2018-11-30,1748.31,1748.31,1748.31,1748.31
2018-12-03,1748.31,1748.31,1748.31,1748.31
2018-12-04,1786.58,1786.58,1786.58,1786.58
2018-12-05,1793.69,1793.69,1793.69,1793.69
2018-12-06,1793.69,1793.69,1793.69,1793.69
2018-12-07,1793.69,1793.69,1793.69,1793.69
2018-12-10,1793.69,1793.69,1793.69,1793.69
2018-12-11,1785.27,1785.27,1785.27,1785.27
2018-12-12,1760.07,1760.07,1760.07,1760.07
2018-12-13,1746.17,1746.17,1746.17,1746.17
2018-12-14,1705.22,1705.22,1705.22,1705.22
2018-12-17,1705.22,1705.22,1705.22,1705.22
2018-12-18,1705.04,1705.04,1705.04,1705.04
2018-12-19,1705.04,1705.04,1705.04,1705.04
2018-12-20,1705.04,1705.04,1705.04,1705.04
2018-12-21,1705.04,1705.04,1705.04,1705.04
2018-12-26,1705.04,1705.04,1705.04,1705.04
2018-12-27,1705.04,1705.04,1705.04,1705.04
2018-12-28,1705.04,1705.04,1705.04,1705.04
2019-01-03,1710.65,1710.65,1710.65,1710.65
2019-01-04,1710.65,1710.65,1710.65,1710.65
2019-01-08,1710.65,1710.65,1710.65,1710.65
2019-01-09,1710.65,1710.65,1710.65,1710.65
2019-01-10,1710.65,1710.65,1710.65,1710.65
2019-01-11,1710.65,1710.65,1710.65,1710.65
2019-01-14,1710.65,1710.65,1710.65,1710.65
2019-01-15,1710.65,1710.65,1710.65,1710.65
2019-01-16,1710.65,1710.65,1710.65,1710.65
2019-01-17,1710.65,1710.65,1710.65,1710.65
2019-01-18,1710.65,1710.65,1710.65,1710.65
2019-01-21,1710.65,1710.65,1710.65,1710.65
2019-01-22,1710.65,1710.65,1710.65,1710.65
2019-01-23,1710.65,1710.65,1710.65,1710.65
2019-01-24,1710.65,1710.65,1710.65,1710.65
2019-01-25,1710.65,1710.65,1710.65,1710.65
2019-01-28,1710.65,1710.65,1710.65,1710.65
2019-01-29,1710.65,1710.65,1710.65,1710.65
2019-01-30,1710.65,1710.65,1710.65,1710.65
2019-01-31,1710.65,1710.65,1710.65,1710.65
2019-02-01,1710.65,1710.65,1710.65,1710.65
2019-02-04,1710.65,1710.65,1710.65,1710.65
2019-02-05,1710.65,1710.65,1710.65,1710.65
2019-02-06,1710.65,1710.65,1710.65,1710.65
2019-02-07,1705.71,1705.71,1705.71,1705.71
2019-02-08,1702.11,1702.11,1702.11,1702.11
2019-02-11,1696.45,1696.45,1696.45,1696.45
2019-02-12,1696.71,1696.71,1696.71,1696.71
2019-02-13,1698.81,1698.81,1698.81,1698.81
2019-02-14,1687.43,1687.43,1687.43,1687.43
2019-02-15,1690.15,1690.15,1690.15,1690.15
2019-02-18,1690.69,1690.69,1690.69,1690.69
2019-02-19,1689.37,1689.37,1689.37,1689.37
2019-02-20,1699.74,1699.74,1699.74,1699.74
2019-02-21,1692.4,1692.4,1692.4,1692.4
2019-02-22,1693.2,1693.2,1693.2,1693.2
2019-02-25,1688.24,1688.24,1688.24,1688.24
2019-02-26,1698.21,1698.21,1698.21,1698.21
2019-02-27,1707.15,1707.15,1707.15,1707.15
2019-02-28,1698.54,1698.54,1698.54,1698.54
2019-03-01,1704.66,1704.66,1704.66,1704.66
2019-03-04,1700.15,1700.15,1700.15,1700.15
2019-03-05,1694.67,1694.67,1694.67,1694.67
2019-03-06,1691.28,1691.28,1691.28,1691.28
2019-03-07,1690.05,1690.05,1690.05,1690.05
2019-03-11,1692.62,1692.62,1692.62,1692.62
2019-03-12,1695.04,1695.04,1695.04,1695.04
2019-03-13,1696.23,1696.23,1696.23,1696.23
2019-03-15,1700.69,1700.69,1700.69,1700.69
2019-03-18,1700.69,1700.69,1700.69,1700.69
2019-03-19,1699.73,1699.73,1699.73,1699.73
2019-03-20,1706.74,1706.74,1706.74,1706.74
2019-03-21,1701.29,1701.29,1701.29,1701.29
2019-03-22,1707.17,1707.17,1707.17,1707.17
2019-03-25,1683.75,1683.75,1683.75,1683.75
2019-03-26,1684.75,1714.78,1684.75,1714.78
2019-03-27,1714.78,1714.78,1714.78,1714.78
2019-03-28,1714.78,1715.7,1714.78,1715.7
2019-03-29,1715.7,1723.59,1715.7,1723.59
2019-04-01,1723.59,1747.33,1721.03,1747.33
2019-04-02,1747.33,1747.33,1741.36,1741.36
2019-04-03,1741.36,1743.51,1741.36,1743.51
2019-04-04,1743.51,1743.51,1743.51,1743.51
2019-04-05,1743.51,1743.51,1743.51,1743.51
2019-04-08,1743.51,1743.51,1743.51,1743.51
2019-04-09,1743.51,1743.51,1743.51,1743.51
2019-04-10,1743.51,1743.51,1743.51,1743.51
2019-04-11,1743.51,1743.51,1743.51,1743.51
2019-04-12,1743.51,1743.51,1690.91,1690.91
2019-04-15,1690.91,1690.91,1689.38,1689.38
2019-04-16,1689.38,1689.38,1689.38,1689.38
2019-04-17,1689.38,1689.38,1689.38,1689.38
2019-04-18,1689.38,1689.38,1689.38,1689.38
2019-04-19,1689.38,1689.38,1689.38,1689.38
2019-04-22,1689.38,1689.38,1689.38,1689.38
2019-04-23,1689.38,1689.38,1689.38,1689.38
2019-04-24,1689.38,1692.44,1689.38,1692.44
2019-04-25,1692.44,1692.44,1692.44,1692.44
2019-04-26,1692.44,1692.44,1692.44,1692.44
2019-05-02,1692.44,1692.44,1679.29,1679.29
2019-05-03,1679.29,1679.29,1679.29,1679.29
2019-05-06,1679.29,1695.5,1679.29,1695.5
2019-05-07,1695.5,1695.5,1695.5,1695.5
2019-05-08,1695.5,1706.22,1695.5,1706.22
2019-05-10,1706.22,1706.22,1706.22,1706.22
2019-05-13,1706.22,1719.37,1706.22,1706.59
2019-05-14,1706.59,1706.59,1706.59,1706.59
2019-05-15,1706.59,1715.11,1706.59,1715.11
2019-05-16,1715.11,1715.11,1715.11,1715.11
2019-05-17,1715.11,1715.11,1710.85,1710.85
2019-05-20,1710.85,1710.85,1710.85,1710.85
2019-05-21,1710.85,1727.19,1710.85,1727.19
2019-05-22,1727.19,1727.19,1727.19,1727.19
2019-05-23,1727.19,1727.19,1727.19,1727.19
2019-05-24,1727.19,1727.19,1721.93,1721.93
2019-05-27,1721.93,1721.93,1696.37,1696.37
2019-05-28,1696.37,1745.9,1693.31,1745.9
2019-05-29,1745.9,1745.9,1745.9,1745.9
2019-05-30,1745.9,1745.9,1744.76,1744.76
2019-05-31,1744.76,1744.76,1734.04,1734.04
2019-06-03,1734.04,1734.04,1731.75,1731.75
2019-06-04,1731.75,1731.75,1731.75,1731.75
2019-06-05,1731.75,1731.75,1731.75,1731.75
2019-06-06,1731.75,1731.75,1727.06,1727.06
2019-06-07,1727.06,1727.06,1710.44,1710.44
2019-06-10,1710.44,1710.44,1684.14,1684.14
2019-06-11,1684.14,1684.14,1647.16,1647.16
2019-06-12,1647.16,1647.16,1647.16,1647.16
2019-06-13,1647.16,1647.16,1647.16,1647.16
2019-06-14,1647.16,1647.16,1647.16,1647.16
2019-06-18,1647.16,1647.16,1643.25,1643.25
2019-06-19,1643.25,1651.71,1609.77,1609.77
2019-06-20,1609.77,1609.77,1609.77,1609.77
2019-06-21,1609.77,1609.77,1609.77,1609.77
2019-06-24,1609.77,1609.77,1605.81,1605.81
2019-06-25,1605.81,1622,1605.81,1622
2019-06-26,1622,1622.78,1622,1622.78
2019-06-27,1622.78,1652.31,1622.78,1652.31
2019-07-01,1652.31,1652.31,1631.32,1631.32
2019-07-02,1631.32,1631.32,1601.35,1601.35
2019-07-03,1601.35,1627.73,1601.35,1627.73
2019-07-04,1627.73,1627.73,1627.73,1627.73
2019-07-05,1627.73,1627.73,1627.73,1627.73
2019-07-08,1627.73,1627.73,1608.8,1608.8
2019-07-09,1608.8,1608.8,1608.8,1608.8
2019-07-10,1608.8,1608.8,1608.8,1608.8
2019-07-11,1608.8,1608.8,1608.8,1608.8
2019-07-12,1608.8,1608.8,1594.41,1594.41
2019-07-15,1594.41,1594.41,1594.41,1594.41
2019-07-16,1594.41,1594.41,1594.41,1594.41
2019-07-17,1594.41,1594.41,1593.63,1593.63
2019-07-18,1593.63,1594.41,1593.63,1594.41
2019-07-19,1594.41,1597.54,1575.64,1593.63
2019-07-22,1593.63,1593.63,1587.99,1587.99
2019-07-23,1587.99,1604.56,1587.99,1597.37
2019-07-24,1597.37,1598.31,1587.52,1587.52
2019-07-25,1587.52,1587.52,1587.52,1587.52
2019-07-26,1587.52,1587.52,1587.52,1587.52
